      Date : 30.Aug.2019                                Time : 9:44:52 AM

                            Input Data : PV
                            Controller : Proportional Control
                            Set Point  : 15.00
                                    kp : 3.00

     TIME (Sec)        PV (CM)     PV (Volts)      CP (in %)     Error(in%)     
          60.31          14.12           2.82          60.59           3.53
          60.43          14.12           2.82          60.59           3.53
          60.56          14.22           2.84          59.41           3.14
          60.70          14.12           2.82          60.59           3.53
          60.84          14.22           2.84          59.41           3.14
          60.98          14.22           2.84          59.41           3.14
          61.11          14.22           2.84          59.41           3.14
          61.23          14.22           2.84          59.41           3.14
          61.37          14.22           2.84          59.41           3.14
          61.50          14.22           2.84          59.41           3.14
          61.62          14.22           2.84          59.41           3.14
          61.75          14.22           2.84          59.41           3.14
          61.87          14.22           2.84          59.41           3.14
          62.00          14.22           2.84          59.41           3.14
          62.12          14.22           2.84          59.41           3.14
          62.24          14.22           2.84          59.41           3.14
          62.37          14.22           2.84          59.41           3.14
          62.49          14.22           2.84          59.41           3.14
          62.62          14.22           2.84          59.41           3.14
          62.74          14.22           2.84          59.41           3.14
          62.87          14.22           2.84          59.41           3.14
          62.99          14.22           2.84          59.41           3.14
          63.12          14.22           2.84          59.41           3.14
          63.24          14.22           2.84          59.41           3.14
          63.37          14.22           2.84          59.41           3.14
          63.49          14.22           2.84          59.41           3.14
          63.62          14.22           2.84          59.41           3.14
          63.76          14.22           2.84          59.41           3.14
          63.90          14.12           2.82          60.59           3.53
          64.02          14.12           2.82          60.59           3.53
          64.16          14.12           2.82          60.59           3.53
          64.29          14.12           2.82          60.59           3.53
          64.41          14.12           2.82          60.59           3.53
          64.54          14.12           2.82          60.59           3.53
          64.66          14.12           2.82          60.59           3.53
          64.79          14.12           2.82          60.59           3.53
          64.91          14.12           2.82          60.59           3.53
          65.04          14.12           2.82          60.59           3.53
          65.16          14.12           2.82          60.59           3.53
          65.29          14.12           2.82          60.59           3.53
          65.41          14.12           2.82          60.59           3.53
          65.54          14.12           2.82          60.59           3.53
          65.66          14.12           2.82          60.59           3.53
          65.79          14.12           2.82          60.59           3.53
          65.91          14.12           2.82          60.59           3.53
          66.04          14.02            2.8          61.76           3.92
          66.16          14.02            2.8          61.76           3.92
          66.29          14.02            2.8          61.76           3.92
          66.41          14.02            2.8          61.76           3.92
          66.54          14.02            2.8          61.76           3.92
          66.66          14.02            2.8          61.76           3.92
          66.79          14.02            2.8          61.76           3.92
          66.91          14.02            2.8          61.76           3.92
          67.04          14.02            2.8          61.76           3.92
          67.16          14.02            2.8          61.76           3.92
          67.28          14.02            2.8          61.76           3.92
          67.41          14.02            2.8          61.76           3.92
          67.53          14.02            2.8          61.76           3.92
          67.66          14.02            2.8          61.76           3.92
          67.78          14.02            2.8          61.76           3.92
          67.91          13.92           2.78          62.94           4.31
          68.05          13.92           2.78          62.94           4.31
          68.17          13.92           2.78          62.94           4.31
          68.30          13.92           2.78          62.94           4.31
          68.42          13.92           2.78          62.94           4.31
          68.55          13.92           2.78          62.94           4.31
          68.67          13.92           2.78          62.94           4.31
          68.80          13.92           2.78          62.94           4.31
          68.92          13.92           2.78          62.94           4.31
          69.05          13.92           2.78          62.94           4.31
          69.17          13.92           2.78          62.94           4.31
          69.30          13.92           2.78          62.94           4.31
          69.42          13.92           2.78          62.94           4.31
          69.54          13.92           2.78          62.94           4.31
          69.67          13.82           2.76          64.12           4.71
          69.81          13.82           2.76          64.12           4.71
          69.93          13.82           2.76          64.12           4.71
          70.06          13.82           2.76          64.12           4.71
          70.18          13.82           2.76          64.12           4.71
          70.31          13.82           2.76          64.12           4.71
          70.43          13.82           2.76          64.12           4.71
          70.56          13.82           2.76          64.12           4.71
          70.68          13.82           2.76          64.12           4.71
          70.81          13.82           2.76          64.12           4.71
          70.93          13.82           2.76          64.12           4.71
          71.06          13.82           2.76          64.12           4.71
          71.18          13.82           2.76          64.12           4.71
          71.31          13.82           2.76          64.12           4.71
          71.43          13.82           2.76          64.12           4.71
          71.57          13.73           2.75          65.29            5.1
          71.70          13.73           2.75          65.29            5.1
          71.84          13.73           2.75          65.29            5.1
          71.98          13.73           2.75          65.29            5.1
          72.12          13.73           2.75          65.29            5.1
          72.24          13.73           2.75          65.29            5.1
          72.38          13.73           2.75          65.29            5.1
          72.51          13.73           2.75          65.29            5.1
          72.63          13.73           2.75          65.29            5.1
          72.77          13.73           2.75          65.29            5.1
          72.90          13.73           2.75          65.29            5.1
          73.02          13.73           2.75          65.29            5.1
          73.15          13.73           2.75          65.29            5.1
          73.27          13.73           2.75          65.29            5.1
          73.40          13.73           2.75          65.29            5.1
          73.52          13.73           2.75          65.29            5.1
          73.65          13.73           2.75          65.29            5.1
          73.77          13.73           2.75          65.29            5.1
          73.90          13.73           2.75          65.29            5.1
          74.02          13.73           2.75          65.29            5.1
          74.15          13.73           2.75          65.29            5.1
          74.27          13.63           2.73          66.47           5.49
          74.40          13.63           2.73          66.47           5.49
          74.52          13.63           2.73          66.47           5.49
          74.64          13.63           2.73          66.47           5.49
          74.77          13.63           2.73          66.47           5.49
          74.89          13.63           2.73          66.47           5.49
          75.02          13.63           2.73          66.47           5.49
          75.14          13.63           2.73          66.47           5.49
          75.27          13.63           2.73          66.47           5.49
          75.39          13.63           2.73          66.47           5.49
          75.52          13.63           2.73          66.47           5.49
          75.64          13.63           2.73          66.47           5.49
          75.77          13.63           2.73          66.47           5.49
          75.89          13.63           2.73          66.47           5.49
          76.02          13.63           2.73          66.47           5.49
          76.14          13.63           2.73          66.47           5.49
          76.27          13.63           2.73          66.47           5.49
          76.39          13.63           2.73          66.47           5.49
          76.52          13.63           2.73          66.47           5.49
          76.64          13.63           2.73          66.47           5.49
          76.77          13.63           2.73          66.47           5.49
          76.89          13.63           2.73          66.47           5.49
          77.02          13.63           2.73          66.47           5.49
          77.14          13.63           2.73          66.47           5.49
          77.27          13.63           2.73          66.47           5.49
          77.39          13.63           2.73          66.47           5.49
          77.52          13.63           2.73          66.47           5.49
          77.64          13.63           2.73          66.47           5.49
          77.77          13.63           2.73          66.47           5.49
          77.91          13.53           2.71          67.65           5.88
          78.03          13.53           2.71          67.65           5.88
          78.16          13.53           2.71          67.65           5.88
          78.28          13.53           2.71          67.65           5.88
          78.41          13.53           2.71          67.65           5.88
          78.53          13.53           2.71          67.65           5.88
          78.66          13.53           2.71          67.65           5.88
          78.78          13.53           2.71          67.65           5.88
          78.91          13.53           2.71          67.65           5.88
          79.03          13.53           2.71          67.65           5.88
          79.16          13.53           2.71          67.65           5.88
          79.28          13.53           2.71          67.65           5.88
          79.40          13.53           2.71          67.65           5.88
          79.53          13.53           2.71          67.65           5.88
          79.65          13.53           2.71          67.65           5.88
          79.78          13.53           2.71          67.65           5.88
          79.90          13.53           2.71          67.65           5.88
          80.03          13.53           2.71          67.65           5.88
          80.15          13.53           2.71          67.65           5.88
          80.28          13.53           2.71          67.65           5.88
          80.40          13.53           2.71          67.65           5.88
          80.53          13.53           2.71          67.65           5.88
          80.65          13.53           2.71          67.65           5.88
          80.78          13.53           2.71          67.65           5.88
          80.90          13.53           2.71          67.65           5.88
          81.03          13.53           2.71          67.65           5.88
          81.15          13.53           2.71          67.65           5.88
          81.28          13.53           2.71          67.65           5.88
          81.40          13.53           2.71          67.65           5.88
          81.53          13.53           2.71          67.65           5.88
          81.65          13.53           2.71          67.65           5.88
          81.78          13.53           2.71          67.65           5.88
          81.90          13.53           2.71          67.65           5.88
          82.02          13.53           2.71          67.65           5.88
