      Date : 30.Aug.2019                                Time : 9:50:25 AM

                            Input Data : PV
                            Controller : P&D Control
                            Set Point  : 15.00
                                    kp : 03.00
                                    kd : 0.01

     TIME (Sec)        PV (CM)     PV (Volts)      CP (in %)     Error(in%)     
          60.71           8.73           1.75         100.00           25.1
          60.84           8.82           1.76         100.00          24.71
          60.96           8.82           1.76         100.00          24.71
          61.09           8.82           1.76         100.00          24.71
          61.21           8.82           1.76         100.00          24.71
          61.34           8.92           1.78         100.00          24.31
          61.46           8.92           1.78         100.00          24.31
          61.59           8.92           1.78         100.00          24.31
          61.71           8.92           1.78         100.00          24.31
          61.84           9.02            1.8         100.00          23.92
          61.96           9.02            1.8         100.00          23.92
          62.09           9.12           1.82         100.00          23.53
          62.21           9.12           1.82         100.00          23.53
          62.34           9.12           1.82         100.00          23.53
          62.46           9.12           1.82         100.00          23.53
          62.59           9.22           1.84         100.00          23.14
          62.71           9.22           1.84         100.00          23.14
          62.84           9.22           1.84         100.00          23.14
          62.96           9.22           1.84         100.00          23.14
          63.09           9.31           1.86         100.00          22.75
          63.21           9.31           1.86         100.00          22.75
          63.34           9.31           1.86         100.00          22.75
          63.46           9.41           1.88         100.00          22.35
          63.59           9.41           1.88         100.00          22.35
          63.71           9.41           1.88         100.00          22.35
          63.84           9.51            1.9         100.00          21.96
          63.96           9.51            1.9         100.00          21.96
          64.08           9.51            1.9         100.00          21.96
          64.21           9.51            1.9         100.00          21.96
          64.33           9.61           1.92         100.00          21.57
          64.46           9.61           1.92         100.00          21.57
          64.58           9.61           1.92         100.00          21.57
          64.71           9.71           1.94         100.00          21.18
          64.83           9.71           1.94         100.00          21.18
          64.96           9.71           1.94         100.00          21.18
          65.08           9.71           1.94         100.00          21.18
          65.21           9.80           1.96         100.00          20.78
          65.35           9.80           1.96         100.00          20.78
          65.47           9.80           1.96         100.00          20.78
          65.61           9.90           1.98         100.00          20.39
          65.74           9.90           1.98         100.00          20.39
          65.86           9.90           1.98         100.00          20.39
          65.99          10.00            2.0         100.00           20.0
          66.11          10.00            2.0         100.00           20.0
          66.24          10.00            2.0         100.00           20.0
          66.36          10.10           2.02         100.00          19.61
          66.49          10.10           2.02         100.00          19.61
          66.61          10.10           2.02         100.00          19.61
          66.73          10.10           2.02         100.00          19.61
          66.86          10.10           2.02         100.00          19.61
          66.98          10.20           2.04         100.00          19.22
          67.13          10.20           2.04         100.00          19.22
          67.25          10.20           2.04         100.00          19.22
          67.38          10.29           2.06         100.00          18.82
          67.50          10.29           2.06         100.00          18.82
          67.63          10.29           2.06         100.00          18.82
          67.75          10.29           2.06         100.00          18.82
          67.88          10.39           2.08         100.00          18.43
          68.00          10.39           2.08         100.00          18.43
          68.13          10.39           2.08         100.00          18.43
          68.25          10.39           2.08         100.00          18.43
          68.38          10.49            2.1         100.00          18.04
          68.50          10.59           2.12         100.00          17.65
          68.64          10.59           2.12         100.00          17.65
          68.76          10.59           2.12         100.00          17.65
          68.89          10.59           2.12         100.00          17.65
          69.01          10.59           2.12         100.00          17.65
          69.14          10.69           2.14         100.00          17.25
          69.26          10.69           2.14         100.00          17.25
          69.39          10.69           2.14         100.00          17.25
          69.51          10.69           2.14         100.00          17.25
          69.64          10.78           2.16         100.00          16.86
          69.76          10.78           2.16         100.00          16.86
          69.89          10.78           2.16         100.00          16.86
          70.03          10.88           2.18          98.92          16.47
          70.17          10.88           2.18          98.92          16.47
          70.29          10.88           2.18          98.92          16.47
          70.42          10.98            2.2          97.75          16.08
          70.54          10.98            2.2          97.75          16.08
          70.67          10.98            2.2          97.75          16.08
          70.79          10.98            2.2          97.75          16.08
          70.92          11.08           2.22          96.59          15.69
          71.04          11.08           2.22          96.59          15.69
          71.17          11.08           2.22          96.59          15.69
          71.29          11.18           2.24          95.42          15.29
          71.43          11.18           2.24          95.42          15.29
          71.57          11.18           2.24          95.42          15.29
